index,#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
1731,1732.0,182,Универзитет Мегатренд,Факултет за уметност и дизајн - Београд,Државни факултет,2156,Основне академске студије,Дипломирани дизајнер,Уметност,Основне академске,309000.0,2500.0,240,612-00-00514/2014-04,2016-07-08,,,,,,,,21.0,20.0,20.0,20.0,,,,,,,,,30,,,0.0,81.0,0.0,81.0,8,4,0.0,21.0,20.0,20.0,20.0,0.0,0.0,UM,Приватни факултет,20.0
1736,1737.0,252,Универзитет Сингидунум,"Факултет за економију, финансије и администрацију (ФЕФА)",Државни факултет,2162,Економија,Економиста,Друштвено-хуманистичке науке,Основне академске,364298.0,2900.0,180,612-00633/2013-04,2014-03-28,,,,,,,,,,,,,,,,,,,,41,,,0.0,0.0,0.0,0.0,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DH,Приватни факултет,0.0
1737,1738.0,252,Универзитет Сингидунум,"Факултет за економију, финансије и администрацију (ФЕФА)",Државни факултет,2163,Менаџмент,Менаџер,Друштвено-хуманистичке науке,Основне академске,364.3,2900.0,180,612-00633/2013-04,2014-03-28,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,0.0,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DH,Приватни факултет,0.0
1740,1741.0,180,Универзитет Мегатренд,Факултет за пословне студије - Београд,Државни факултет,2171,Oсновне академске пословне студије,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,185000.0,3000.0,240,612-00-00079/2014-04,2015-03-06,,0.0,0.0,0.0,0.0,,,153.0,180.0,150.0,395.0,,,0.0,0.0,0.0,0.0,,,297,,,0.0,878.0,0.0,878.0,8,4,0.0,153.0,180.0,150.0,395.0,0.0,0.0,DH,Приватни факултет,395.0
1744,1745.0,190,Универзитет Мегатренд,Факултет за биофарминг - Бачка Топола,Државни факултет,2175,Биофарминг,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,123000.0,2000.0,240,612-00-02336/2014-04,2015-03-20,,0.0,0.0,0.0,0.0,,,25.0,12.0,14.0,26.0,,,0.0,0.0,0.0,0.0,,,53,,,0.0,77.0,0.0,77.0,8,4,0.0,25.0,12.0,14.0,26.0,0.0,0.0,TT,Приватни факултет,26.0
1746,1747.0,230,,Висока школа Академија српске православне цркве за уметност и консервацију - Београд,Државна висока школа,1994,Црквене уметности ОАС,Дипломирани ликовни уметник,Уметност,Основне академске,180000.0,1500.0,240,612-00-00426/2013-04,2016-12-12,,0.0,0.0,0.0,0.0,,,10.0,7.0,10.0,6.0,,,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,0.0,33.0,8,4,0.0,10.0,7.0,10.0,6.0,0.0,0.0,UM,,6.0
1747,1748.0,230,,Висока школа Академија српске православне цркве за уметност и консервацију - Београд,Државна висока школа,1995,Обнова и чување ОАС,Дипломирани конзерватор и рестауратор,Уметност,Основне академске,180000.0,1500.0,240,612-00-00426/2013-04,2014-12-12,,0.0,0.0,0.0,0.0,,,9.0,5.0,7.0,5.0,,,0.0,0.0,0.0,0.0,,,3,,,0.0,26.0,0.0,26.0,8,4,0.0,9.0,5.0,7.0,5.0,0.0,0.0,UM,,5.0
1750,1751.0,231,,Висока школа модерног бизниса - Београд,Државна висока школа,2000,Менаџмент у савременом бизнису,Менаџер,Друштвено-хуманистичке науке,Основне академске,160000.0,1300.0,180,612-00-00444/2015-06,2015-06-12,,,,,,,,,,,,,,,,,,,,106,,,0.0,0.0,0.0,0.0,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DH,,0.0
1771,1772.0,249,Универзитет одбране,Медицински факултет ВМА,Универзитет одбране,2005,Интегрисане академске студије медицне,Доктор медицине,Медицинске науке,Интегр. академске,0.0,3000.0,360,612-00-00062/2014-04,2014-04-04,,25.0,25.0,26.0,27.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18,,,157.0,0.0,1.0,158.0,12,6,0.0,25.0,25.0,26.0,28.0,29.0,25.0,MD,Државни факултет,25.0
1789,1790.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2230,Основне академске студије-Информационе технологије,Дипломирани информатичар,Природно-математичке науке,Основне академске,77440.0,2000.0,240,612-00-00834/2017-06,2017-05-19,80.0,73.0,50.0,39.0,45.0,,,21.0,26.0,39.0,81.0,,,0.0,0.0,0.0,0.0,,,0,108.0,1.0,207.0,167.0,0.0,374.0,8,4,109.0,94.0,76.0,78.0,126.0,0.0,0.0,PM,Државни факултет,126.0
1790,1791.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2231,Професор физике,Дипломирани професор физике,Природно-математичке науке,Основне академске,54450.0,2000.0,240,612-00-00954/2016-06,2016-07-08,30.0,7.0,4.0,6.0,6.0,,,3.0,4.0,14.0,31.0,,,,,,,,,0,7.0,0.0,23.0,52.0,0.0,75.0,8,4,7.0,10.0,8.0,20.0,37.0,0.0,0.0,PM,Државни факултет,37.0
1791,1792.0,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,2232,Основне академске студије-Географија,Дипломирани географ,Природно-математичке науке,Основне академске,54450.0,2000.0,240,612-00-01018/2016-06,2016-09-09,20.0,12.0,6.0,8.0,10.0,,,10.0,9.0,6.0,41.0,,,0.0,0.0,0.0,0.0,,,0,20.0,0.0,36.0,66.0,0.0,102.0,8,4,20.0,22.0,15.0,14.0,51.0,0.0,0.0,PM,Државни факултет,51.0
