Naziv ustanove,Univerzitet,Nivo,Zvanje,Dužina trajanja programa (u god),Polje_skraceno,Vlasnistvo,Akreditaciona kvota,Broj studenata,Broj prijavljenih kandidata,Broj svršenih studenata tokom prethodne školske godine,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata na zavrsnoj godini
Građevinsko-arhitektonski fakultet,Univerzitet u Nišu,Integr. akademske,Master inženjer arhitekture,5,TT,Državni fakultet,180.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Građevinsko-arhitektonski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani inženjer arhitekture (tehničke nauke),4,TT,Državni fakultet,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Građevinsko-arhitektonski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani inženjer građevinarstva,4,TT,Državni fakultet,180.0,77.0,69.0,32.0,77.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,1.0,0.0
Departman za biomedicinske nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani biolog,4,MD,Državni fakultet,35.0,127.0,34.0,7.0,37.0,29.0,32.0,29.0,0.0,0.0,63.0,64.0,0.0,29.0
Departman za biomedicinske nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani profesor fizičkog vaspitanja i sporta (biomedicinske nauke),4,MD,Državni fakultet,35.0,139.0,29.0,9.0,20.0,41.0,31.0,47.0,0.0,0.0,84.0,52.0,3.0,47.0
Departman za biomedicinske nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani terapeut,4,MD,Državni fakultet,35.0,155.0,41.0,4.0,39.0,39.0,39.0,38.0,0.0,0.0,77.0,78.0,0.0,38.0
Departman za veterinarsku medicinu na Poljoprivrednom fakultetu,Univerzitet u Novom Sadu,Integr. akademske,Doktor veterinarske medicine,5,MD,Državni fakultet,60.0,450.0,97.0,27.0,77.0,41.0,51.0,59.0,222.0,0.0,200.0,249.0,1.0,222.0
Departman za ekonomske nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani ekonomista,4,DH,Državni fakultet,100.0,577.0,42.0,15.0,136.0,151.0,140.0,150.0,0.0,0.0,268.0,305.0,4.0,150.0
Departman za ekonomske nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani poslovni informatičar,4,DH,Državni fakultet,40.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Departman za matematičke nauke,Državni Univerzitet u Novom Pazaru,Integr. akademske,Master profesor matematike,5,PM,Državni fakultet,75.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
