"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"2317.","1655","Државно","Рашки управни округ","Врњачка Бања","Угоститељско-туристичка школа са домом ученика","Трговина, угоститељство и туризам","Конобар","3","Српски језик","1","0","0","29","10","0","0","0","1","0","0","29","7","0","0","0","1","0","0","25","4","0","0","0","0","0","0","0","0","0","0","0"
"2318.","1655","Државно","Рашки управни округ","Врњачка Бања","Угоститељско-туристичка школа са домом ученика","Трговина, угоститељство и туризам","Кувар","3","Српски језик","2","0","0","59","18","0","1","0","2","0","0","61","18","0","0","0","2","0","0","56","13","0","0","0","0","0","0","0","0","0","0","0"
"2319.","1655","Државно","Рашки управни округ","Врњачка Бања","Угоститељско-туристичка школа са домом ученика","Трговина, угоститељство и туризам","Посластичар","3","Српски језик","1","0","0","27","21","0","1","0","1","0","0","27","25","0","0","0","1","0","0","20","15","0","0","0","0","0","0","0","0","0","0","0"
"2320.","1655","Државно","Рашки управни округ","Врњачка Бања","Угоститељско-туристичка школа са домом ученика","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Српски језик","1","0","0","28","20","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2321.","1656","Државно","Рашки управни округ","Нови Пазар - град","Гимназија","Гимназија","Природно - математички смер","4","Босански језик","2","0","0","57","30","0","0","0","1","0","0","25","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2322.","1656","Државно","Рашки управни округ","Нови Пазар - град","Гимназија","Гимназија","Друштвено - језички смер гимназије","4","Босански језик","2","0","0","56","43","0","0","0","2","0","0","65","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2323.","1656","Државно","Рашки управни округ","Нови Пазар - град","Гимназија","Гимназија","Општи тип гимназије","4","Босански језик","1","0","0","32","15","0","0","0","2","0","0","55","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2324.","1656","Државно","Рашки управни округ","Нови Пазар - град","Гимназија","Гимназија","Природно - математички смер","4","Српски језик","1","0","0","30","15","0","0","0","2","0","0","55","32","0","0","0","3","0","0","82","38","0","0","0","3","0","0","67","33","0","0","0"
"2325.","1656","Државно","Рашки управни округ","Нови Пазар - град","Гимназија","Гимназија","Друштвено - језички смер гимназије","4","Српски језик","2","0","0","61","40","0","0","0","2","0","0","64","48","0","0","0","4","0","0","131","85","0","0","0","4","0","0","125","87","0","0","0"
"2326.","1656","Државно","Рашки управни округ","Нови Пазар - град","Гимназија","Гимназија","Општи тип гимназије","4","Српски језик","2","0","0","64","38","0","0","0","1","0","0","36","16","0","0","0","3","0","0","103","53","0","0","0","3","0","0","104","60","0","0","0"
"2327.","1656","Државно","Рашки управни округ","Нови Пазар - град","Гимназија","Гимназија","Ученици са посебним способностима за рачунарство и информатику","4","Српски језик","1","0","0","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2328.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Економски техничар","4","Босански језик","1","0","0","30","15","0","0","0","1","0","0","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2329.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Правни техничар","4","Босански језик","1","0","0","30","15","0","0","0","1","0","0","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2330.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Остала делатност личних услуга","Женски фризер","3","Босански језик","1","0","0","30","15","0","0","0","1","0","0","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2331.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Службеник у банкарству и осигурању","4","Босански језик","1","0","0","30","15","0","0","0","1","0","0","30","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2332.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Економски техничар","4","Српски језик","1","0","0","30","15","0","0","0","1","0","0","30","18","0","0","0","2","0","0","60","22","0","0","0","1","0","0","30","11","0","0","0"
"2333.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Правни техничар","4","Српски језик","1","0","0","30","15","0","0","0","1","0","0","30","18","0","0","0","2","0","0","60","40","0","0","0","2","0","0","60","37","0","0","0"
"2334.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Техничар обезбеђења","4","Српски језик","1","0","0","30","15","0","0","0","1","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","32","18","0","0","0"
"2335.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Остала делатност личних услуга","Мушки фризер","3","Српски језик","1","1","0","15","0","0","0","0","1","1","0","15","15","0","0","0","1","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
"2336.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Остала делатност личних услуга","Женски фризер","3","Српски језик","1","0","0","30","15","0","0","0","0","0","0","0","0","0","0","0","1","0","0","30","30","0","0","0","0","0","0","0","0","0","0","0"
"2337.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Остала делатност личних услуга","Педикир и маникир","3","Српски језик","1","1","0","15","15","0","0","0","1","1","0","15","15","0","0","0","1","1","0","15","15","0","0","0","0","0","0","0","0","0","0","0"
"2338.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Пословни администратор","4","Српски језик","1","0","0","30","15","0","0","0","0","0","0","0","0","0","0","0","1","0","0","30","19","0","0","0","1","0","0","30","19","0","0","0"
"2339.","1657","Државно","Рашки управни округ","Нови Пазар - град","Економско-трговинска школа","Економија, право и администрација","Финансијски администратор","4","Српски језик","1","0","0","30","15","0","0","0","1","0","0","30","19","0","0","0","1","0","0","30","18","0","0","0","1","0","0","30","17","0","0","0"
