1119231,"01.01.2016,00:00",20.695308,44.447707,Sa povredjenim,SN SA PE?ACIMA,Pe?ak se kre?e du? kolovoza u smeru kretanja vozila
1115860,"01.01.2016,01:30",20.466890,44.816650,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa desne strane kolovoza
1115675,"01.01.2016,02:30",20.409630,44.720360,Sa mat.stetom,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom na kolovozu
1119278,"01.01.2016,03:30",20.342140,44.802270,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa desne strane kolovoza
1115900,"01.01.2016,03:45",20.480940,44.803090,Sa povredjenim,SN SA NAJMANjE DVA VOZILA ? BEZ SKRETANjA,Najmanje dva vozila ? ?eoni sudar
1115900,"01.01.2016,03:45",20.480940,44.803090,Sa povredjenim,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa leve strane kolovoza
1116454,"01.01.2016,04:00",20.505540,44.812120,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa desne strane kolovoza
1117095,"01.01.2016,04:00",20.493380,44.795490,Sa mat.stetom,SN SA JEDNIM VOZILOM,Nezgode sa jednim vozilom u raskrsnici ili na petlji
1117350,"01.01.2016,04:05",20.410670,44.847470,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa desne strane kolovoza
1115689,"01.01.2016,04:15",20.419510,44.829160,Sa povredjenim,SN SA PE?ACIMA,"Prelazak pe?aka sleva, u raskrsnici, bez skretanja vozila"
1115928,"01.01.2016,05:00",20.388280,44.841540,Sa mat.stetom,SN SA NAJMANjE DVA VOZILA ? SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila"
1115775,"01.01.2016,05:00",20.443270,44.812090,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa leve strane kolovoza
1116027,"01.01.2016,05:50",20.644967,44.373656,Sa mat.stetom,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom ? silazak sa kolovoza u krivini
1116760,"01.01.2016,09:00",20.433800,44.783887,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Ostali sudari sa parkiranim vozilom
1115703,"01.01.2016,09:20",20.445290,44.811230,Sa povredjenim,SN SA NAJMANjE DVA VOZILA ? SKRETANjE ILI PRELAZAK,Najmanje dva vozila koja se kre?u istim putem u suprotnim smerovima uz skretanje ulevo ispred drugog vozila
1116799,"01.01.2016,10:00",20.475631,44.809099,Sa mat.stetom,SN SA NAJMANjE DVA VOZILA ? SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila"
1115711,"01.01.2016,10:30",20.415730,44.758910,Sa mat.stetom,SN SA NAJMANjE DVA VOZILA ? SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u istim putem u istom smeru uz skretanje, skretanje udesno ispred drugog vozila"
1117378,"01.01.2016,12:30",20.474410,44.803520,Sa mat.stetom,SN SA NAJMANjE DVA VOZILA ? SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u razli?itim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja"
1116595,"01.01.2016,13:00",20.601257,44.744818,Sa povredjenim,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom ? silazak ulevo sa kolovoza na pravcu
1115729,"01.01.2016,14:00",20.480970,44.803240,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa desne strane kolovoza
1117118,"01.01.2016,14:00",20.529820,44.786224,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa leve strane kolovoza
1117381,"01.01.2016,15:45",20.476950,44.788700,Sa mat.stetom,SN SA JEDNIM VOZILOM,Nezgoda sa jednim vozilom na kolovozu
1116607,"01.01.2016,16:30",20.556212,44.757873,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa leve strane kolovoza
1115681,"01.01.2016,16:40",20.449360,44.796250,Sa povredjenim,SN SA PE?ACIMA,"Prelazak pe?aka zdesna, van raskrsnice, bez skretanja vozila"
1116558,"01.01.2016,17:15",20.561120,44.767030,Sa povredjenim,SN SA NAJMANjE DVA VOZILA ? BEZ SKRETANjA,Najmanje dva vozila koja se kre?u u istom smeru ? sustizanje
1115760,"01.01.2016,18:20",20.411620,44.754470,Sa mat.stetom,SN SA PARKIRANIM VOZILIMA,Sudar sa parkiranim vozilom sa desne strane kolovoza
1115853,"01.01.2016,20:55",20.461840,44.807870,Sa mat.stetom,SN SA NAJMANjE DVA VOZILA ? SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u istim putem u istom smeru uz skretanje, skretanje udesno ispred drugog vozila"
1115796,"01.01.2016,22:15",20.464970,44.801480,Sa mat.stetom,SN SA NAJMANjE DVA VOZILA ? BEZ SKRETANjA,Najmanje dva vozila ? suprotni smerovi bez skretanja ? kretanje unazad
1119579,"01.02.2016,06:15",20.345660,44.833630,Sa mat.stetom,SN SA NAJMANjE DVA VOZILA ? SKRETANjE ILI PRELAZAK,"Najmanje dva vozila koja se kre?u istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila"
