Country,Continent,Population,Area
Sudan,Africa,41236378,2505810
Suriname,South America,439117,163270
Swaziland,Africa,1136334,17363
Sweden,Europe,9016596,449964
Switzerland,Europe,7523934,41290
Syria,Asia,18881361,185180
Taiwan,Asia,23036087,35980
Tajikistan,Asia,7320815,143100
Tanzania,Africa,37445392,945087
Thailand,Asia,64631595,514000
Togo,Africa,5548702,56785
Tonga,Oceania,114689,748
Trinidad & Tobago,South America,1065842,5128
Tunisia,Africa,10175014,163610
Turkey,Asia,70413958,780580
Turkmenistan,Asia,5042920,488100
Turks & Caicos Is,South America,21152,430
Tuvalu,Oceania,11810,26
Uganda,Africa,28195754,236040
Ukraine,Europe,46710816,603700
United Arab Emirates,Asia,2602713,82880
United Kingdom,Europe,60609153,244820
United States,North America,298444215,9631420
Uruguay,South America,3431932,176220
Uzbekistan,Asia,27307134,447400
Vanuatu,Oceania,208869,12200
Venezuela,South America,25730435,912050
Vietnam,Asia,84402966,329560
Virgin Islands,South America,108605,1910
Wallis and Futuna,Oceania,16025,274
West Bank,Asia,2460492,5860
Western Sahara,Africa,273008,266000
Yemen,Asia,21456188,527970
Zambia,Africa,11502010,752614
Zimbabwe,Africa,12236805,390580
